slug,display_name,image_mode,image_url,image_credit,image_license,image_source_page,notes
machairasaurus,Machairasaurus,silhouette,,,,,
machairoceratops,Machairoceratops,silhouette,,,,,
macrogryphosaurus,Macrogryphosaurus,silhouette,,,,,
macropodosaurus,Macropodosaurus,silhouette,,,,,
mafatrisauropus,Mafatrisauropus,silhouette,,,,,
magnapaulia,Magnapaulia,silhouette,,,,,
magnirostris,Magnirostris,silhouette,,,,,
magnosaurus,Magnosaurus,silhouette,,,,,
magyarosaurus,Magyarosaurus,silhouette,,,,,
mahakala,Mahakala,silhouette,,,,,
maiasaura,Maiasaura,silhouette,,,,,
majungasaurus,Majungasaurus,silhouette,,,,,
malarguesaurus,Malarguesaurus,silhouette,,,,,
malawisaurus,Malawisaurus,silhouette,,,,,
mamenchisaurus,Mamenchisaurus,silhouette,,,,,
mandschurosaurus,Mandschurosaurus,silhouette,,,,,
manidens,Manidens,silhouette,,,,,
mantellisaurus,Mantellisaurus,silhouette,,,,,
mapusaurus,Mapusaurus,silhouette,,,,,
marisaurus,Marisaurus,silhouette,,,,,
marshosaurus,Marshosaurus,silhouette,,,,,
martharaptor,Martharaptor,silhouette,,,,,
masiakasaurus,Masiakasaurus,silhouette,,,,,
massospondylus,Massospondylus,silhouette,,,,,
maxakalisaurus,Maxakalisaurus,silhouette,,,,,
medusaceratops,Medusaceratops,silhouette,,,,,
megalosauropus,Megalosauropus,silhouette,,,,,
megalosaurus,Megalosaurus,silhouette,,,,,
megaraptor,Megaraptor,silhouette,,,,,
mei,Mei,silhouette,,,,,
melanorosaurus,Melanorosaurus,silhouette,,,,,
mendozasaurus,Mendozasaurus,silhouette,,,,,
menglongipus,Menglongipus,silhouette,,,,,
mercuriceratops,Mercuriceratops,silhouette,,,,,
meroktenos,Meroktenos,silhouette,,,,,
metriacanthosaurus,Metriacanthosaurus,silhouette,,,,,
microceratus,Microceratus,silhouette,,,,,
microdontosaurus,Microdontosaurus,silhouette,,,,,
micropachycephalosaurus,Micropachycephalosaurus,silhouette,,,,,
microraptor,Microraptor,silhouette,,,,,
microvenator,Microvenator,silhouette,,,,,
minisauripus,Minisauripus,silhouette,,,,,
minmi,Minmi,silhouette,,,,,
miragaia,Miragaia,silhouette,,,,,
mirischia,Mirischia,silhouette,,,,,
moabosaurus,Moabosaurus,silhouette,,,,,
mochlodon,Mochlodon,silhouette,,,,,
mojoceratops,Mojoceratops,silhouette,,,,,
mongolosaurus,Mongolosaurus,silhouette,,,,,
monoclonius,Monoclonius,silhouette,,,,,
monolophosaurus,Monolophosaurus,silhouette,,,,,
mononykus,Mononykus,silhouette,,,,,
montanoceratops,Montanoceratops,silhouette,,,,,
moraesichnium,Moraesichnium,silhouette,,,,,
morrosaurus,Morrosaurus,silhouette,,,,,
mosaiceratops,Mosaiceratops,silhouette,,,,,
moyenisauropus,Moyenisauropus,silhouette,,,,,
murusraptor,Murusraptor,silhouette,,,,,
mussaurus,Mussaurus,silhouette,,,,,
muttaburrasaurus,Muttaburrasaurus,silhouette,,,,,
muyelensaurus,Muyelensaurus,silhouette,,,,,
mymoorapelta,Mymoorapelta,silhouette,,,,,
naashoibitosaurus,Naashoibitosaurus,silhouette,,,,,
nambalia,Nambalia,silhouette,,,,,
nankangia,Nankangia,silhouette,,,,,
nanningosaurus,Nanningosaurus,silhouette,,,,,
nanosaurus,Nanosaurus,silhouette,,,,,
nanotyrannus,Nanotyrannus,silhouette,,,,,
nanshiungosaurus,Nanshiungosaurus,silhouette,,,,,
nanuqsaurus,Nanuqsaurus,silhouette,,,,,
nanyangosaurus,Nanyangosaurus,silhouette,,,,,
narambuenatitan,Narambuenatitan,silhouette,,,,,
nasutoceratops,Nasutoceratops,silhouette,,,,,
navahopus,Navahopus,silhouette,,,,,
nebulasaurus,Nebulasaurus,silhouette,,,,,
nedcolbertia,Nedcolbertia,silhouette,,,,,
neimongosaurus,Neimongosaurus,silhouette,,,,,
nemegtomaia,Nemegtomaia,silhouette,,,,,
nemegtosaurus,Nemegtosaurus,silhouette,,,,,
neoanomoepus,Neoanomoepus,silhouette,,,,,
neovenator,Neovenator,silhouette,,,,,
neuquenraptor,Neuquenraptor,silhouette,,,,,
neuquensaurus,Neuquensaurus,silhouette,,,,,
ngexisaurus,Ngexisaurus,silhouette,,,,,
nigersaurus,Nigersaurus,silhouette,,,,,
ningyuansaurus,Ningyuansaurus,silhouette,,,,,
niobrarasaurus,Niobrarasaurus,silhouette,,,,,
nipponosaurus,Nipponosaurus,silhouette,,,,,
noasaurus,Noasaurus,silhouette,,,,,
nodocephalosaurus,Nodocephalosaurus,silhouette,,,,,
nodosaurus,Nodosaurus,silhouette,,,,,
nomingia,Nomingia,silhouette,,,,,
nopcsaspondylus,Nopcsaspondylus,silhouette,,,,,
normanniasaurus,Normanniasaurus,silhouette,,,,,
nothronychus,Nothronychus,silhouette,,,,,
notocolossus,Notocolossus,silhouette,,,,,
notohypsilophodon,Notohypsilophodon,silhouette,,,,,
nqwebasaurus,Nqwebasaurus,silhouette,,,,,
nuthetes,Nuthetes,silhouette,,,,,
ohmdenosaurus,Ohmdenosaurus,silhouette,,,,,
ojoraptorsaurus,Ojoraptorsaurus,silhouette,,,,,
olorotitan,Olorotitan,silhouette,,,,,
omeisaurus,Omeisaurus,silhouette,,,,,
oobardjidama,Oobardjidama,silhouette,,,,,
oohkotokia,Oohkotokia,silhouette,,,,,
opisthocoelicaudia,Opisthocoelicaudia,silhouette,,,,,
orcauichnites,Orcauichnites,silhouette,,,,,
orkoraptor,Orkoraptor,silhouette,,,,,
ornithoides,Ornithoides,silhouette,,,,,
ornitholestes,Ornitholestes,silhouette,,,,,
ornithomimipus,Ornithomimipus,silhouette,,,,,
ornithomimus,Ornithomimus,silhouette,,,,,
ornithopodichnites,Ornithopodichnites,silhouette,,,,,
ornithopodichnus,Ornithopodichnus,silhouette,,,,,
ornithopsis,Ornithopsis,silhouette,,,,,
orodromeus,Orodromeus,silhouette,,,,,
oryctodromeus,Oryctodromeus,silhouette,,,,,
osmakasaurus,Osmakasaurus,silhouette,,,,,
ostafrikasaurus,Ostafrikasaurus,silhouette,,,,,
othnielosaurus,Othnielosaurus,silhouette,,,,,
otozoum,Otozoum,silhouette,,,,,
ouranosaurus,Ouranosaurus,silhouette,,,,,
overosaurus,Overosaurus,silhouette,,,,,
oviraptor,Oviraptor,silhouette,,,,,
ovoraptor,Ovoraptor,silhouette,,,,,
owenodon,Owenodon,silhouette,,,,,
oxalaia,Oxalaia,silhouette,,,,,
pachycephalosaurus,Pachycephalosaurus,silhouette,,,,,
pachyrhinosaurus,Pachyrhinosaurus,silhouette,,,,,
padillasaurus,Padillasaurus,silhouette,,,,,
pakisaurus,Pakisaurus,silhouette,,,,,
paludititan,Paludititan,silhouette,,,,,
pampadromaeus,Pampadromaeus,silhouette,,,,,
pamparaptor,Pamparaptor,silhouette,,,,,
panamericansaurus,Panamericansaurus,silhouette,,,,,
panoplosaurus,Panoplosaurus,silhouette,,,,,
panphagia,Panphagia,silhouette,,,,,
pantydraco,Pantydraco,silhouette,,,,,
parachirotherium,Parachirotherium,silhouette,,,,,
paracorpulentapus,Paracorpulentapus,silhouette,,,,,
paragrallator,Paragrallator,silhouette,,,,,
paralititan,Paralititan,silhouette,,,,,
paranthodon,Paranthodon,silhouette,,,,,
pararhabdodon,Pararhabdodon,silhouette,,,,,
parasaurolophus,Parasaurolophus,silhouette,,,,,
parksosaurus,Parksosaurus,silhouette,,,,,
paronychodon,Paronychodon,silhouette,,,,,
parvicursor,Parvicursor,silhouette,,,,,
patagonykus,Patagonykus,silhouette,,,,,
patagosaurus,Patagosaurus,silhouette,,,,,
pawpawsaurus,Pawpawsaurus,silhouette,,,,,
pectinodon,Pectinodon,silhouette,,,,,
pedopenna,Pedopenna,silhouette,,,,,
pegomastax,Pegomastax,silhouette,,,,,
pelecanimimus,Pelecanimimus,silhouette,,,,,
pellegrinisaurus,Pellegrinisaurus,silhouette,,,,,
peloroplites,Peloroplites,silhouette,,,,,
pelorosaurus,Pelorosaurus,silhouette,,,,,
penelopognathus,Penelopognathus,silhouette,,,,,
pentaceratops,Pentaceratops,silhouette,,,,,
petrobrasaurus,Petrobrasaurus,silhouette,,,,,
philovenator,Philovenator,silhouette,,,,,
phuwiangosaurus,Phuwiangosaurus,silhouette,,,,,
piatnitzkysaurus,Piatnitzkysaurus,silhouette,,,,,
picunichnus,Picunichnus,silhouette,,,,,
pinacosaurus,Pinacosaurus,silhouette,,,,,
pisanosaurus,Pisanosaurus,silhouette,,,,,
pitekunsaurus,Pitekunsaurus,silhouette,,,,,
piveteausaurus,Piveteausaurus,silhouette,,,,,
planicoxa,Planicoxa,silhouette,,,,,
plateosauravus,Plateosauravus,silhouette,,,,,
plateosaurus,Plateosaurus,silhouette,,,,,
platyceratops,Platyceratops,silhouette,,,,,
platypterna,Platypterna,silhouette,,,,,
plectropus,Plectropus,silhouette,,,,,
plesiohadros,Plesiohadros,silhouette,,,,,
plesiornis,Plesiornis,silhouette,,,,,
plesiothornipus,Plesiothornipus,silhouette,,,,,
pneumatoraptor,Pneumatoraptor,silhouette,,,,,
poekilopleuron,Poekilopleuron,silhouette,,,,,
polacanthus,Polacanthus,silhouette,,,,,
polyonyx,Polyonyx,silhouette,,,,,
pradhania,Pradhania,silhouette,,,,,
prenocephale,Prenocephale,silhouette,,,,,
prenoceratops,Prenoceratops,silhouette,,,,,
proa,Proa,silhouette,,,,,
probactrosaurus,Probactrosaurus,silhouette,,,,,
proceratosaurus,Proceratosaurus,silhouette,,,,,
procompsognathus,Procompsognathus,silhouette,,,,,
propanoplosaurus,Propanoplosaurus,silhouette,,,,,
proplanicoxa,Proplanicoxa,silhouette,,,,,
prosaurolophus,Prosaurolophus,silhouette,,,,,
protarchaeopteryx,Protarchaeopteryx,silhouette,,,,,
protoavis,Protoavis,silhouette,,,,,
protoceratops,Protoceratops,silhouette,,,,,
protohadros,Protohadros,silhouette,,,,,
pseudotetrasauropus,Pseudotetrasauropus,silhouette,,,,,
pseudotrisauropus,Pseudotrisauropus,silhouette,,,,,
psittacosaurus,Psittacosaurus,silhouette,,,,,
puertasaurus,Puertasaurus,silhouette,,,,,
pulanesaura,Pulanesaura,silhouette,,,,,
pycnonemosaurus,Pycnonemosaurus,silhouette,,,,,
pyroraptor,Pyroraptor,silhouette,,,,,
qantassaurus,Qantassaurus,silhouette,,,,,
qiaowanlong,Qiaowanlong,silhouette,,,,,
qijianglong,Qijianglong,silhouette,,,,,
qingxiusaurus,Qingxiusaurus,silhouette,,,,,
qiupalong,Qiupalong,silhouette,,,,,
qiyunshanpus,Qiyunshanpus,silhouette,,,,,
qomoqomosauropus,Qomoqomosauropus,silhouette,,,,,
quaesitosaurus,Quaesitosaurus,silhouette,,,,,
quetecsaurus,Quetecsaurus,silhouette,,,,,
quilmesaurus,Quilmesaurus,silhouette,,,,,
rahiolisaurus,Rahiolisaurus,silhouette,,,,,
rajasaurus,Rajasaurus,silhouette,,,,,
rapetosaurus,Rapetosaurus,silhouette,,,,,
raptorex,Raptorex,silhouette,,,,,
ratchasimasaurus,Ratchasimasaurus,silhouette,,,,,
ravatichnus,Ravatichnus,silhouette,,,,,
rayososaurus,Rayososaurus,silhouette,,,,,
rebbachisaurus,Rebbachisaurus,silhouette,,,,,
rhabdodon,Rhabdodon,silhouette,,,,,
rhoetosaurus,Rhoetosaurus,silhouette,,,,,
richardoestesia,Richardoestesia,silhouette,,,,,
rinconsaurus,Rinconsaurus,silhouette,,,,,
riojasaurus,Riojasaurus,silhouette,,,,,
rocasaurus,Rocasaurus,silhouette,,,,,
rotundichnus,Rotundichnus,silhouette,,,,,
rubeosaurus,Rubeosaurus,silhouette,,,,,
ruehleia,Ruehleia,silhouette,,,,,
rugops,Rugops,silhouette,,,,,
rukwatitan,Rukwatitan,silhouette,,,,,
ruyangosaurus,Ruyangosaurus,silhouette,,,,,
sahaliyania,Sahaliyania,silhouette,,,,,
saichania,Saichania,silhouette,,,,,
salfitichnus,Salfitichnus,silhouette,,,,,
saltasaurus,Saltasaurus,silhouette,,,,,
saltopoides,Saltopoides,silhouette,,,,,
samanadrinda,Samanadrinda,silhouette,,,,,
sanjuansaurus,Sanjuansaurus,silhouette,,,,,
sanpasaurus,Sanpasaurus,silhouette,,,,,
santanaraptor,Santanaraptor,silhouette,,,,,
sarahsaurus,Sarahsaurus,silhouette,,,,,
sarcolestes,Sarcolestes,silhouette,,,,,
sarcosaurus,Sarcosaurus,silhouette,,,,,
sarmientichnus,Sarmientichnus,silhouette,,,,,
sarmientosaurus,Sarmientosaurus,silhouette,,,,,
satapliasaurus,Satapliasaurus,silhouette,,,,,
saturnalia,Saturnalia,silhouette,,,,,
saurexallopus,Saurexallopus,silhouette,,,,,
saurichnium,Saurichnium,silhouette,,,,,
saurischichnus,Saurischichnus,silhouette,,,,,
saurolophus,Saurolophus,silhouette,,,,,
sauroniops,Sauroniops,silhouette,,,,,
sauropelta,Sauropelta,silhouette,,,,,
saurophaganax,Saurophaganax,silhouette,,,,,
sauroposeidon,Sauroposeidon,silhouette,,,,,
sauropus,Sauropus,silhouette,,,,,
saurornithoides,Saurornithoides,silhouette,,,,,
saurornitholestes,Saurornitholestes,silhouette,,,,,
savannasaurus,Savannasaurus,silhouette,,,,,
scansoriopteryx,Scansoriopteryx,silhouette,,,,,
scelidosaurus,Scelidosaurus,silhouette,,,,,
scipionyx,Scipionyx,silhouette,,,,,
sciurumimus,Sciurumimus,silhouette,,,,,
scolosaurus,Scolosaurus,silhouette,,,,,
scutellosaurus,Scutellosaurus,silhouette,,,,,
secernosaurus,Secernosaurus,silhouette,,,,,
sefapanosaurus,Sefapanosaurus,silhouette,,,,,
segisaurus,Segisaurus,silhouette,,,,,
segnosaurus,Segnosaurus,silhouette,,,,,
seitaad,Seitaad,silhouette,,,,,
selenichnus,Selenichnus,silhouette,,,,,
senqutrisauropus,Senqutrisauropus,silhouette,,,,,
serendipaceratops,Serendipaceratops,silhouette,,,,,
shamosaurus,Shamosaurus,silhouette,,,,,
shanag,Shanag,silhouette,,,,,
shantungosaurus,Shantungosaurus,silhouette,,,,,
shanxia,Shanxia,silhouette,,,,,
shanyangosaurus,Shanyangosaurus,silhouette,,,,,
shaochilong,Shaochilong,silhouette,,,,,
shenmuichnus,Shenmuichnus,silhouette,,,,,
shenzhousaurus,Shenzhousaurus,silhouette,,,,,
shidaisaurus,Shidaisaurus,silhouette,,,,,
shixinggia,Shixinggia,silhouette,,,,,
shuangmiaosaurus,Shuangmiaosaurus,silhouette,,,,,
shunosaurus,Shunosaurus,silhouette,,,,,
shuvuuia,Shuvuuia,silhouette,,,,,
siamopodus,Siamopodus,silhouette,,,,,
siamotyrannus,Siamotyrannus,silhouette,,,,,
siats,Siats,silhouette,,,,,
silvisaurus,Silvisaurus,silhouette,,,,,
similicaudipteryx,Similicaudipteryx,silhouette,,,,,
sinocalliopteryx,Sinocalliopteryx,silhouette,,,,,
sinoceratops,Sinoceratops,silhouette,,,,,
sinornithoides,Sinornithoides,silhouette,,,,,
sinornithomimus,Sinornithomimus,silhouette,,,,,
sinornithosaurus,Sinornithosaurus,silhouette,,,,,
sinosauropteryx,Sinosauropteryx,silhouette,,,,,
sinosaurus,Sinosaurus,silhouette,,,,,
sinotyrannus,Sinotyrannus,silhouette,,,,,
sinovenator,Sinovenator,silhouette,,,,,
sinraptor,Sinraptor,silhouette,,,,,
sinusonasus,Sinusonasus,silhouette,,,,,
skartopus,Skartopus,silhouette,,,,,
skorpiovenator,Skorpiovenator,silhouette,,,,,
sonidosaurus,Sonidosaurus,silhouette,,,,,
sonorasaurus,Sonorasaurus,silhouette,,,,,
sousaichnium,Sousaichnium,silhouette,,,,,
sphingopus,Sphingopus,silhouette,,,,,
spiclypeus,Spiclypeus,silhouette,,,,,
spinophorosaurus,Spinophorosaurus,silhouette,,,,,
spinops,Spinops,silhouette,,,,,
spinosaurus,Spinosaurus,silhouette,,,,,
spinostropheus,Spinostropheus,silhouette,,,,,
staurichnium,Staurichnium,silhouette,,,,,
staurikosaurus,Staurikosaurus,silhouette,,,,,
stegoceras,Stegoceras,silhouette,,,,,
stegopelta,Stegopelta,silhouette,,,,,
stegopodus,Stegopodus,silhouette,,,,,
stegosaurus,Stegosaurus,silhouette,,,,,
stenonyx,Stenonyx,silhouette,,,,,
stenopelix,Stenopelix,silhouette,,,,,
stokesosaurus,Stokesosaurus,silhouette,,,,,
stormbergia,Stormbergia,silhouette,,,,,
streptospondylus,Streptospondylus,silhouette,,,,,
struthiomimus,Struthiomimus,silhouette,,,,,
struthiosaurus,Struthiosaurus,silhouette,,,,,
styracosaurus,Styracosaurus,silhouette,,,,,
subtiliolithus,Subtiliolithus,silhouette,,,,,
suchomimus,Suchomimus,silhouette,,,,,
sulaimanisaurus,Sulaimanisaurus,silhouette,,,,,
supersaurus,Supersaurus,silhouette,,,,,
suuwassea,Suuwassea,silhouette,,,,,
suzhousaurus,Suzhousaurus,silhouette,,,,,
swinnertonichnus,Swinnertonichnus,silhouette,,,,,
syntarsus,Syntarsus,silhouette,,,,,
tachiraptor,Tachiraptor,silhouette,,,,,
tacuarembovum,Tacuarembovum,silhouette,,,,,
talarurus,Talarurus,silhouette,,,,,
talenkauen,Talenkauen,silhouette,,,,,
talos,Talos,silhouette,,,,,
tambatitanis,Tambatitanis,silhouette,,,,,
tangvayosaurus,Tangvayosaurus,silhouette,,,,,
tanius,Tanius,silhouette,,,,,
tanycolagreus,Tanycolagreus,silhouette,,,,,
taohelong,Taohelong,silhouette,,,,,
tapinosaurus,Tapinosaurus,silhouette,,,,,
taponichnus,Taponichnus,silhouette,,,,,
tapuiasaurus,Tapuiasaurus,silhouette,,,,,
tarascosaurus,Tarascosaurus,silhouette,,,,,
tarbosaurus,Tarbosaurus,silhouette,,,,,
tarchia,Tarchia,silhouette,,,,,
tastavinsaurus,Tastavinsaurus,silhouette,,,,,
tatankacephalus,Tatankacephalus,silhouette,,,,,
tataouinea,Tataouinea,silhouette,,,,,
taupezia,Taupezia,silhouette,,,,,
taurovenator,Taurovenator,silhouette,,,,,
tawa,Tawa,silhouette,,,,,
tazoudasaurus,Tazoudasaurus,silhouette,,,,,
tehuelchesaurus,Tehuelchesaurus,silhouette,,,,,
telmatosaurus,Telmatosaurus,silhouette,,,,,
telosichnus,Telosichnus,silhouette,,,,,
tendaguria,Tendaguria,silhouette,,,,,
tengrisaurus,Tengrisaurus,silhouette,,,,,
tenontosaurus,Tenontosaurus,silhouette,,,,,
teratophoneus,Teratophoneus,silhouette,,,,,
tethyshadros,Tethyshadros,silhouette,,,,,
tetrapodium,Tetrapodium,silhouette,,,,,
tetrasauropus,Tetrasauropus,silhouette,,,,,
texacephale,Texacephale,silhouette,,,,,
texasetes,Texasetes,silhouette,,,,,
thecodontichnus,Thecodontichnus,silhouette,,,,,
thecodontosaurus,Thecodontosaurus,silhouette,,,,,
theiophytalia,Theiophytalia,silhouette,,,,,
therizinosaurus,Therizinosaurus,silhouette,,,,,
thescelosaurus,Thescelosaurus,silhouette,,,,,
thotobolosaurus,Thotobolosaurus,silhouette,,,,,
tiantaisaurus,Tiantaisaurus,silhouette,,,,,
tianyulong,Tianyulong,silhouette,,,,,
tianyuraptor,Tianyuraptor,silhouette,,,,,
tianzhenosaurus,Tianzhenosaurus,silhouette,,,,,
tienshanosaurus,Tienshanosaurus,silhouette,,,,,
timimus,Timimus,silhouette,,,,,
titanoceratops,Titanoceratops,silhouette,,,,,
titanopodus,Titanopodus,silhouette,,,,,
titanosaurimanus,Titanosaurimanus,silhouette,,,,,
titanosaurus,Titanosaurus,silhouette,,,,,
tochisaurus,Tochisaurus,silhouette,,,,,
tonganosaurus,Tonganosaurus,silhouette,,,,,
tongtianlong,Tongtianlong,silhouette,,,,,
tornieria,Tornieria,silhouette,,,,,
torosaurus,Torosaurus,silhouette,,,,,
torvosaurus,Torvosaurus,silhouette,,,,,
tototlmimus,Tototlmimus,silhouette,,,,,
traukutitan,Traukutitan,silhouette,,,,,
triceratops,Triceratops,silhouette,,,,,
tridigitichnus,Tridigitichnus,silhouette,,,,,
trigonosaurus,Trigonosaurus,silhouette,,,,,
trinisaura,Trinisaura,silhouette,,,,,
triunfosaurus,Triunfosaurus,silhouette,,,,,
troodon,Troodon,silhouette,,,,,
tsaagan,Tsaagan,silhouette,,,,,
tsagantegia,Tsagantegia,silhouette,,,,,
tsintaosaurus,Tsintaosaurus,silhouette,,,,,
tugulusaurus,Tugulusaurus,silhouette,,,,,
tuojiangosaurus,Tuojiangosaurus,silhouette,,,,,
turanoceratops,Turanoceratops,silhouette,,,,,
turiasaurus,Turiasaurus,silhouette,,,,,
tylocephale,Tylocephale,silhouette,,,,,
tyrannosauripus,Tyrannosauripus,silhouette,,,,,
tyrannosaurus,Tyrannosaurus,silhouette,,,,,
tyrannotitan,Tyrannotitan,silhouette,,,,,
uberabatitan,Uberabatitan,silhouette,,,,,
udanoceratops,Udanoceratops,silhouette,,,,,
ugrunaaluk,Ugrunaaluk,silhouette,,,,,
unaysaurus,Unaysaurus,silhouette,,,,,
unenlagia,Unenlagia,silhouette,,,,,
unescoceratops,Unescoceratops,silhouette,,,,,
unquillosaurus,Unquillosaurus,silhouette,,,,,
urbacodon,Urbacodon,silhouette,,,,,
utahceratops,Utahceratops,silhouette,,,,,
utahraptor,Utahraptor,silhouette,,,,,
uteodon,Uteodon,silhouette,,,,,
vagaceratops,Vagaceratops,silhouette,,,,,
vahiny,Vahiny,silhouette,,,,,
valdosaurus,Valdosaurus,silhouette,,,,,
variraptor,Variraptor,silhouette,,,,,
velafrons,Velafrons,silhouette,,,,,
velociraptor,Velociraptor,silhouette,,,,,
velociraptorichnus,Velociraptorichnus,silhouette,,,,,
velocisaurus,Velocisaurus,silhouette,,,,,
venenosaurus,Venenosaurus,silhouette,,,,,
viavenator,Viavenator,silhouette,,,,,
vitakridrinda,Vitakridrinda,silhouette,,,,,
volkheimeria,Volkheimeria,silhouette,,,,,
vouivria,Vouivria,silhouette,,,,,
vulcanodon,Vulcanodon,silhouette,,,,,
wannanosaurus,Wannanosaurus,silhouette,,,,,
wendiceratops,Wendiceratops,silhouette,,,,,
wiehenvenator,Wiehenvenator,silhouette,,,,,
wildeichnus,Wildeichnus,silhouette,,,,,
willinakaqe,Willinakaqe,silhouette,,,,,
wintonotitan,Wintonotitan,silhouette,,,,,
wulagasaurus,Wulagasaurus,silhouette,,,,,
wulatelong,Wulatelong,silhouette,,,,,
xenoceratops,Xenoceratops,silhouette,,,,,
xenotarsosaurus,Xenotarsosaurus,silhouette,,,,,
xiangxipus,Xiangxipus,silhouette,,,,,
xianshanosaurus,Xianshanosaurus,silhouette,,,,,
xiaosaurus,Xiaosaurus,silhouette,,,,,
xiaotingia,Xiaotingia,silhouette,,,,,
xinjiangovenator,Xinjiangovenator,silhouette,,,,,
xinjiangtitan,Xinjiangtitan,silhouette,,,,,
xiongguanlong,Xiongguanlong,silhouette,,,,,
xiuningpus,Xiuningpus,silhouette,,,,,
xixianykus,Xixianykus,silhouette,,,,,
xixiasaurus,Xixiasaurus,silhouette,,,,,
xixiposaurus,Xixiposaurus,silhouette,,,,,
xuanhanosaurus,Xuanhanosaurus,silhouette,,,,,
xuanhuaceratops,Xuanhuaceratops,silhouette,,,,,
xuwulong,Xuwulong,silhouette,,,,,
yamaceratops,Yamaceratops,silhouette,,,,,
yandusaurus,Yandusaurus,silhouette,,,,,
yangchuanosaurus,Yangchuanosaurus,silhouette,,,,,
yangtzepus,Yangtzepus,silhouette,,,,,
yaverlandia,Yaverlandia,silhouette,,,,,
yezosaurus,Yezosaurus,silhouette,,,,,
yi,Yi,silhouette,,,,,
yimenosaurus,Yimenosaurus,silhouette,,,,,
yinlong,Yinlong,silhouette,,,,,
yixianosaurus,Yixianosaurus,silhouette,,,,,
yongjinglong,Yongjinglong,silhouette,,,,,
yuanmousaurus,Yuanmousaurus,silhouette,,,,,
yueosaurus,Yueosaurus,silhouette,,,,,
yulong,Yulong,silhouette,,,,,
yunganglong,Yunganglong,silhouette,,,,,
yunmenglong,Yunmenglong,silhouette,,,,,
yunnanosaurus,Yunnanosaurus,silhouette,,,,,
yurgovuchia,Yurgovuchia,silhouette,,,,,
yutyrannus,Yutyrannus,silhouette,,,,,
zalmoxes,Zalmoxes,silhouette,,,,,
zanabazar,Zanabazar,silhouette,,,,,
zapalasaurus,Zapalasaurus,silhouette,,,,,
zapsalis,Zapsalis,silhouette,,,,,
zby,Zby,silhouette,,,,,
zephyrosaurus,Zephyrosaurus,silhouette,,,,,
zhanghenglong,Zhanghenglong,silhouette,,,,,
zhejiangosaurus,Zhejiangosaurus,silhouette,,,,,
zhongornis,Zhongornis,silhouette,,,,,
zhongyuanosaurus,Zhongyuanosaurus,silhouette,,,,,
zhuchengceratops,Zhuchengceratops,silhouette,,,,,
zhuchengosaurus,Zhuchengosaurus,silhouette,,,,,
zhuchengtyrannus,Zhuchengtyrannus,silhouette,,,,,
ziapelta,Ziapelta,silhouette,,,,,
zuniceratops,Zuniceratops,silhouette,,,,,
zuolong,Zuolong,silhouette,,,,,
zupaysaurus,Zupaysaurus,silhouette,,,,,
