occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,slug,id,diet_clean,diet_code,type_group,survival_span_ma,era_mid_ma,has_coords,has_length,match_pool,region_clean,hemisphere_ns,hemisphere_ew,attack_base,defense_base,mobility_base,data_quality_score,image_key,image_mode,image_url,image_credit,image_license,length_norm
880423,Yixianosaurus,,,,130.0,122.46,Liaoning,123.438904,39.878601,Saurischia,,yixianosaurus,yixianosaurus-880423,unknown,0.4,unknown,7.540000000000006,126.22999999999999,True,False,False,Liaoning,N,E,0.5,0.5,0.5,1,yixianosaurus,silhouette,,,,
880484,Swinnertonichnus,,,,247.2,242.0,England,-1.151155,52.970528,Saurischia,Anchisauripodidae,swinnertonichnus,swinnertonichnus-880484,unknown,0.4,unknown,5.199999999999989,244.6,True,False,False,England,N,W,0.5,0.5,0.5,2,swinnertonichnus,silhouette,,,,
880485,Troodon,carnivorous,small theropod,2.0,83.5,70.6,Montana,-109.814911,48.53841,Saurischia,Troodontidae,troodon,troodon-880485,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Montana,N,W,1.0,0.55,0.9,4,troodon,silhouette,,,,0.044862518089725044
881358,Menglongipus,,,,150.8,132.9,Hebei,115.892502,40.786945,Saurischia,Dromaeopodidae,menglongipus,menglongipus-881358,unknown,0.4,unknown,17.900000000000006,141.85000000000002,True,False,False,Hebei,N,E,0.5,0.5,0.5,2,menglongipus,silhouette,,,,
881978,Troodon,carnivorous,small theropod,2.0,70.6,66.0,Alaska,-151.51944,69.832222,Saurischia,Troodontidae,troodon,troodon-881978,carnivorous,1.0,theropod,4.599999999999994,68.3,True,True,True,Alaska,N,W,1.0,0.55,0.9,4,troodon,silhouette,,,,0.044862518089725044
882032,Balaur,,,,70.6,66.0,Alba,23.570463,45.993664,Saurischia,Dromaeosauridae,balaur,balaur-882032,unknown,0.4,unknown,4.599999999999994,68.3,True,False,False,Alba,N,E,0.5,0.5,0.5,2,balaur,silhouette,,,,
882064,Plateosaurus,herbivorous,sauropod,7.0,228.0,208.5,Bayern,11.266667,49.483334,Saurischia,Plateosauridae,plateosaurus,plateosaurus-882064,herbivorous,0.2,sauropod,19.5,218.25,True,True,True,Bayern,N,E,0.35,0.8,0.25,4,plateosaurus,silhouette,,,,0.18958031837916064
883034,Concavenator,,,,130.0,125.45,Cuenca,-1.880849,40.064526,Saurischia,Carcharodontosauridae,concavenator,concavenator-883034,unknown,0.4,unknown,4.549999999999997,127.725,True,False,False,Cuenca,N,W,0.5,0.5,0.5,2,concavenator,silhouette,,,,
883293,Fukuiraptor,carnivorous,large theropod,4.2,136.4,125.45,Gunma,138.891937,36.110558,Saurischia,Neovenatoridae,fukuiraptor,fukuiraptor-883293,carnivorous,1.0,theropod,10.950000000000003,130.925,True,True,True,Gunma,N,E,1.0,0.55,0.9,4,fukuiraptor,silhouette,,,,0.10853835021707671
883310,Banji,,,,72.1,66.0,Jiangxi,114.933334,25.816668,Saurischia,Oviraptoridae,banji,banji-883310,unknown,0.4,unknown,6.099999999999994,69.05,True,False,False,Jiangxi,N,E,0.5,0.5,0.5,2,banji,silhouette,,,,
