occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,slug,id,diet_clean,diet_code,type_group,survival_span_ma,era_mid_ma,has_coords,has_length,match_pool,region_clean,hemisphere_ns,hemisphere_ew,attack_base,defense_base,mobility_base,data_quality_score,image_key,image_mode,image_url,image_credit,image_license,length_norm
130294,Protarchaeopteryx,omnivorous,small theropod,2.0,130.0,122.46,Liaoning,120.73333,41.799999,Saurischia,Archaeopterygidae,protarchaeopteryx,protarchaeopteryx-130294,omnivorous,0.6,theropod,7.540000000000006,126.22999999999999,True,True,True,Liaoning,N,E,0.65,0.55,0.9,4,protarchaeopteryx,silhouette,,,,0.044862518089725044
130295,Caudipteryx,omnivorous,small theropod,1.0,130.0,122.46,Liaoning,120.73333,41.799999,Saurischia,Caudipterygidae,caudipteryx,caudipteryx-130295,omnivorous,0.6,theropod,7.540000000000006,126.22999999999999,True,True,True,Liaoning,N,E,0.65,0.55,0.9,4,caudipteryx,silhouette,,,,0.015918958031837918
139242,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.528732,50.740726,Saurischia,Tyrannosauridae,gorgosaurus,gorgosaurus-139242,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,gorgosaurus,silhouette,,,,0.23589001447178007
139250,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.549347,50.737015,Saurischia,Tyrannosauridae,gorgosaurus,gorgosaurus-139250,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,gorgosaurus,silhouette,,,,0.23589001447178007
139252,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.564636,50.723866,Saurischia,Tyrannosauridae,gorgosaurus,gorgosaurus-139252,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,gorgosaurus,silhouette,,,,0.23589001447178007
139253,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.525337,50.740471,Saurischia,Tyrannosauridae,gorgosaurus,gorgosaurus-139253,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,gorgosaurus,silhouette,,,,0.23589001447178007
139254,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.601021,50.786999,Saurischia,Tyrannosauridae,gorgosaurus,gorgosaurus-139254,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,gorgosaurus,silhouette,,,,0.23589001447178007
139255,Albertosaurus,carnivorous,large theropod,9.0,72.1,66.0,Alberta,-112.981903,51.8046,Saurischia,Tyrannosauridae,albertosaurus,albertosaurus-139255,carnivorous,1.0,theropod,6.099999999999994,69.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,albertosaurus,silhouette,,,,0.2474674384949349
139256,Albertosaurus,carnivorous,large theropod,9.0,70.6,66.0,Alberta,-112.981903,51.819099,Saurischia,Tyrannosauridae,albertosaurus,albertosaurus-139256,carnivorous,1.0,theropod,4.599999999999994,68.3,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,albertosaurus,silhouette,,,,0.2474674384949349
139257,Albertosaurus,carnivorous,large theropod,9.0,83.5,70.6,Alberta,-112.818901,51.542702,Saurischia,Tyrannosauridae,albertosaurus,albertosaurus-139257,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,albertosaurus,silhouette,,,,0.2474674384949349
139258,Albertosaurus,carnivorous,large theropod,9.0,83.5,70.6,Alberta,-112.8423,51.469898,Saurischia,Tyrannosauridae,albertosaurus,albertosaurus-139258,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,albertosaurus,silhouette,,,,0.2474674384949349
139259,Albertosaurus,carnivorous,large theropod,9.0,83.5,70.6,Alberta,-112.702202,51.4408,Saurischia,Tyrannosauridae,albertosaurus,albertosaurus-139259,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,albertosaurus,silhouette,,,,0.2474674384949349
139260,Isisaurus,herbivorous,sauropod,18.0,72.1,66.0,Maharashtra,80.366669,21.183332,Saurischia,,isisaurus,isisaurus-139260,herbivorous,0.2,sauropod,6.099999999999994,69.05,True,True,True,Maharashtra,N,E,0.35,0.8,0.25,3,isisaurus,silhouette,,,,0.507959479015919
139261,Daspletosaurus,carnivorous,large theropod,9.0,83.5,70.6,Alberta,-110.681999,49.083698,Saurischia,Tyrannosauridae,daspletosaurus,daspletosaurus-139261,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,daspletosaurus,silhouette,,,,0.2474674384949349
139262,Daspletosaurus,carnivorous,large theropod,9.0,83.5,70.6,Alberta,-111.511902,50.742401,Saurischia,Tyrannosauridae,daspletosaurus,daspletosaurus-139262,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,daspletosaurus,silhouette,,,,0.2474674384949349
139290,Daspletosaurus,carnivorous,large theropod,9.0,83.5,70.6,Alberta,-111.485008,50.751526,Saurischia,Tyrannosauridae,daspletosaurus,daspletosaurus-139290,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,daspletosaurus,silhouette,,,,0.2474674384949349
139291,Albertosaurus,carnivorous,large theropod,9.0,70.6,66.0,Alberta,-112.934799,51.928299,Saurischia,Tyrannosauridae,albertosaurus,albertosaurus-139291,carnivorous,1.0,theropod,4.599999999999994,68.3,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,albertosaurus,silhouette,,,,0.2474674384949349
139292,Tyrannosaurus,carnivorous,large theropod,12.0,72.1,66.0,Alberta,-113.0289,51.906399,Saurischia,Tyrannosauridae,tyrannosaurus,tyrannosaurus-139292,carnivorous,1.0,theropod,6.099999999999994,69.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,tyrannosaurus,silhouette,,,,0.33429811866859627
139293,Tyrannosaurus,carnivorous,large theropod,12.0,72.1,66.0,Alberta,-113.23333,51.933334,Saurischia,Tyrannosauridae,tyrannosaurus,tyrannosaurus-139293,carnivorous,1.0,theropod,6.099999999999994,69.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,tyrannosaurus,silhouette,,,,0.33429811866859627
139306,Amygdalodon,herbivorous,sauropod,15.0,180.1,171.6,Chubut,-69.51667,-43.966667,Saurischia,,amygdalodon,amygdalodon-139306,herbivorous,0.2,sauropod,8.5,175.85,True,True,True,Chubut,S,W,0.35,0.8,0.25,3,amygdalodon,silhouette,,,,0.4211287988422577
139307,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,Colorado,-108.63855,39.031395,Saurischia,,camarasaurus,camarasaurus-139307,herbivorous,0.2,sauropod,12.300000000000011,151.15,True,True,True,Colorado,N,W,0.35,0.8,0.25,3,camarasaurus,silhouette,,,,0.6526772793053547
139308,Camarasaurus,herbivorous,sauropod,23.0,157.3,152.1,Colorado,-108.717499,39.111668,Saurischia,,camarasaurus,camarasaurus-139308,herbivorous,0.2,sauropod,5.200000000000017,154.7,True,True,True,Colorado,N,W,0.35,0.8,0.25,3,camarasaurus,silhouette,,,,0.6526772793053547
144307,Bistahieversor,,,,83.5,70.6,New Mexico,-107.966393,36.06028,Saurischia,,bistahieversor,bistahieversor-144307,unknown,0.4,unknown,12.900000000000006,77.05,True,False,False,New Mexico,N,W,0.5,0.5,0.5,1,bistahieversor,silhouette,,,,
148500,Sonorasaurus,,,,105.3,93.5,Arizona,-110.418053,31.81139,Saurischia,Brachiosauridae,sonorasaurus,sonorasaurus-148500,unknown,0.4,unknown,11.799999999999997,99.4,True,False,False,Arizona,N,W,0.5,0.5,0.5,2,sonorasaurus,silhouette,,,,
148628,Mononykus,carnivorous,small theropod,1.0,72.1,66.0,Omnogov,99.599998,43.540001,Saurischia,,mononykus,mononykus-148628,carnivorous,1.0,theropod,6.099999999999994,69.05,True,True,True,Omnogov,N,E,1.0,0.55,0.9,3,mononykus,silhouette,,,,0.015918958031837918
148629,Tarbosaurus,carnivorous,large theropod,10.0,72.1,66.0,Omnogov,99.599998,43.540001,Saurischia,Tyrannosauridae,tarbosaurus,tarbosaurus-148629,carnivorous,1.0,theropod,6.099999999999994,69.05,True,True,True,Omnogov,N,E,1.0,0.55,0.9,4,tarbosaurus,silhouette,,,,0.27641099855282203
149592,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Wyoming,-106.041,41.893101,Saurischia,Allosauridae,allosaurus,allosaurus-149592,carnivorous,1.0,theropod,12.300000000000011,151.15,True,True,True,Wyoming,N,W,1.0,0.55,0.9,4,allosaurus,silhouette,,,,0.33429811866859627
149596,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Wyoming,-106.389999,42.035831,Saurischia,Allosauridae,allosaurus,allosaurus-149596,carnivorous,1.0,theropod,12.300000000000011,151.15,True,True,True,Wyoming,N,W,1.0,0.55,0.9,4,allosaurus,silhouette,,,,0.33429811866859627
149598,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,Wyoming,-106.389999,42.035831,Saurischia,Diplodocidae,diplodocus,diplodocus-149598,herbivorous,0.2,sauropod,12.300000000000011,151.15,True,True,True,Wyoming,N,W,0.35,0.8,0.25,4,diplodocus,silhouette,,,,0.739507959479016
149600,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,Wyoming,-106.389999,42.035831,Saurischia,,camarasaurus,camarasaurus-149600,herbivorous,0.2,sauropod,12.300000000000011,151.15,True,True,True,Wyoming,N,W,0.35,0.8,0.25,3,camarasaurus,silhouette,,,,0.6526772793053547
149988,Efraasia,,,,228.0,208.5,Baden-Württemberg,8.978333,49.023609,Saurischia,,efraasia,efraasia-149988,unknown,0.4,unknown,19.5,218.25,True,False,False,Baden-Württemberg,N,E,0.5,0.5,0.5,1,efraasia,silhouette,,,,
150175,Massospondylus,omnivorous,sauropod,4.0,201.3,190.8,Free State,28.623056,-28.509443,Saurischia,Massospondylidae,massospondylus,massospondylus-150175,omnivorous,0.6,sauropod,10.5,196.05,True,True,True,Free State,S,E,0.65,0.8,0.25,4,massospondylus,silhouette,,,,0.10274963820549927
150240,Amargasaurus,herbivorous,sauropod,12.0,129.4,122.46,Neuquén,-70.194786,-39.481979,Saurischia,Dicraeosauridae,amargasaurus,amargasaurus-150240,herbivorous,0.2,sauropod,6.940000000000012,125.93,True,True,True,Neuquén,S,W,0.35,0.8,0.25,4,amargasaurus,silhouette,,,,0.33429811866859627
150311,Apatosaurus,herbivorous,sauropod,21.0,157.3,145.0,Colorado,-105.187332,39.653423,Saurischia,Diplodocidae,apatosaurus,apatosaurus-150311,herbivorous,0.2,sauropod,12.300000000000011,151.15,True,True,True,Colorado,N,W,0.35,0.8,0.25,4,apatosaurus,silhouette,,,,0.5947901591895803
150350,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,Wyoming,-105.916199,42.152302,Saurischia,Diplodocidae,diplodocus,diplodocus-150350,herbivorous,0.2,sauropod,12.300000000000011,151.15,True,True,True,Wyoming,N,W,0.35,0.8,0.25,4,diplodocus,silhouette,,,,0.739507959479016
150351,Brontosaurus,herbivorous,sauropod,22.0,157.3,145.0,Wyoming,-105.916199,42.152302,Saurischia,Diplodocidae,brontosaurus,brontosaurus-150351,herbivorous,0.2,sauropod,12.300000000000011,151.15,True,True,True,Wyoming,N,W,0.35,0.8,0.25,4,brontosaurus,silhouette,,,,0.6237337192474675
150354,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,Wyoming,-105.916199,42.152302,Saurischia,,camarasaurus,camarasaurus-150354,herbivorous,0.2,sauropod,12.300000000000011,151.15,True,True,True,Wyoming,N,W,0.35,0.8,0.25,3,camarasaurus,silhouette,,,,0.6526772793053547
150849,Dilophosaurus,carnivorous,large theropod,6.0,199.3,182.7,Arizona,-110.32,36.145279,Saurischia,,dilophosaurus,dilophosaurus-150849,carnivorous,1.0,theropod,16.600000000000023,191.0,True,True,True,Arizona,N,W,1.0,0.55,0.9,3,dilophosaurus,silhouette,,,,0.16063675832127353
150850,Dilophosaurus,carnivorous,large theropod,6.0,199.3,182.7,Arizona,-110.300003,36.099998,Saurischia,,dilophosaurus,dilophosaurus-150850,carnivorous,1.0,theropod,16.600000000000023,191.0,True,True,True,Arizona,N,W,1.0,0.55,0.9,3,dilophosaurus,silhouette,,,,0.16063675832127353
219971,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,Wyoming,-106.048615,42.017776,Saurischia,Diplodocidae,diplodocus,diplodocus-219971,herbivorous,0.2,sauropod,12.300000000000011,151.15,True,True,True,Wyoming,N,W,0.35,0.8,0.25,4,diplodocus,silhouette,,,,0.739507959479016
219972,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,Wyoming,-106.048615,42.017776,Saurischia,,camarasaurus,camarasaurus-219972,herbivorous,0.2,sauropod,12.300000000000011,151.15,True,True,True,Wyoming,N,W,0.35,0.8,0.25,3,camarasaurus,silhouette,,,,0.6526772793053547
219974,Brontosaurus,herbivorous,sauropod,22.0,157.3,145.0,Wyoming,-106.048615,42.017776,Saurischia,Diplodocidae,brontosaurus,brontosaurus-219974,herbivorous,0.2,sauropod,12.300000000000011,151.15,True,True,True,Wyoming,N,W,0.35,0.8,0.25,4,brontosaurus,silhouette,,,,0.6237337192474675
219975,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Wyoming,-106.048615,42.017776,Saurischia,Allosauridae,allosaurus,allosaurus-219975,carnivorous,1.0,theropod,12.300000000000011,151.15,True,True,True,Wyoming,N,W,1.0,0.55,0.9,4,allosaurus,silhouette,,,,0.33429811866859627
219980,Camarasaurus,herbivorous,sauropod,23.0,155.7,150.8,Wyoming,-108.120003,43.380001,Saurischia,,camarasaurus,camarasaurus-219980,herbivorous,0.2,sauropod,4.899999999999977,153.25,True,True,True,Wyoming,N,W,0.35,0.8,0.25,3,camarasaurus,silhouette,,,,0.6526772793053547
219998,Tyrannosaurus,carnivorous,large theropod,12.0,83.5,70.6,Alberta,-111.525871,50.728848,Saurischia,Tyrannosauridae,tyrannosaurus,tyrannosaurus-219998,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,tyrannosaurus,silhouette,,,,0.33429811866859627
220009,Tyrannosaurus,carnivorous,large theropod,12.0,83.5,70.6,Alberta,-111.524582,50.727234,Saurischia,Tyrannosauridae,tyrannosaurus,tyrannosaurus-220009,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,tyrannosaurus,silhouette,,,,0.33429811866859627
220011,Velociraptor,carnivorous,small theropod,1.8,83.5,70.6,Alberta,-111.524582,50.727234,Saurischia,Dromaeosauridae,velociraptor,velociraptor-220011,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,velociraptor,silhouette,,,,0.039073806078147616
220028,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.484657,50.750553,Saurischia,Tyrannosauridae,gorgosaurus,gorgosaurus-220028,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Alberta,N,W,1.0,0.55,0.9,4,gorgosaurus,silhouette,,,,0.23589001447178007
220033,Coelophysis,carnivorous,small theropod,2.0,201.3,190.8,Matabeleland North,30.1,-16.216667,Saurischia,,coelophysis,coelophysis-220033,carnivorous,1.0,theropod,10.5,196.05,True,True,True,Matabeleland North,S,E,1.0,0.55,0.9,3,coelophysis,silhouette,,,,0.044862518089725044
220038,Kotasaurus,herbivorous,sauropod,9.0,199.3,182.7,Andhra Pradesh,79.845581,19.106924,Saurischia,,kotasaurus,kotasaurus-220038,herbivorous,0.2,sauropod,16.600000000000023,191.0,True,True,True,Andhra Pradesh,N,E,0.35,0.8,0.25,3,kotasaurus,silhouette,,,,0.2474674384949349
220055,Diplodocus,herbivorous,sauropod,26.0,155.7,145.0,Wyoming,-108.199997,43.630001,Saurischia,Diplodocidae,diplodocus,diplodocus-220055,herbivorous,0.2,sauropod,10.699999999999989,150.35,True,True,True,Wyoming,N,W,0.35,0.8,0.25,4,diplodocus,silhouette,,,,0.739507959479016
220056,Camarasaurus,herbivorous,sauropod,23.0,155.7,145.0,Wyoming,-108.199997,43.630001,Saurischia,,camarasaurus,camarasaurus-220056,herbivorous,0.2,sauropod,10.699999999999989,150.35,True,True,True,Wyoming,N,W,0.35,0.8,0.25,3,camarasaurus,silhouette,,,,0.6526772793053547
220058,Allosaurus,carnivorous,large theropod,12.0,155.7,145.0,Wyoming,-108.199997,43.630001,Saurischia,Allosauridae,allosaurus,allosaurus-220058,carnivorous,1.0,theropod,10.699999999999989,150.35,True,True,True,Wyoming,N,W,1.0,0.55,0.9,4,allosaurus,silhouette,,,,0.33429811866859627
220060,Barosaurus,herbivorous,sauropod,24.0,155.7,145.0,Wyoming,-108.199997,43.630001,Saurischia,Diplodocidae,barosaurus,barosaurus-220060,herbivorous,0.2,sauropod,10.699999999999989,150.35,True,True,True,Wyoming,N,W,0.35,0.8,0.25,4,barosaurus,silhouette,,,,0.6816208393632418
220070,Plateosaurus,herbivorous,sauropod,7.0,228.0,208.5,Aargau,8.016667,47.5,Saurischia,Plateosauridae,plateosaurus,plateosaurus-220070,herbivorous,0.2,sauropod,19.5,218.25,True,True,True,Aargau,N,E,0.35,0.8,0.25,4,plateosaurus,silhouette,,,,0.18958031837916064
220073,Liliensternus,carnivorous,small theropod,5.0,228.0,208.5,Aargau,8.016667,47.5,Saurischia,,liliensternus,liliensternus-220073,carnivorous,1.0,theropod,19.5,218.25,True,True,True,Aargau,N,E,1.0,0.55,0.9,3,liliensternus,silhouette,,,,0.1316931982633864
220082,Plateosaurus,herbivorous,sauropod,7.0,228.0,208.5,Baden-Württemberg,8.65,48.066669,Saurischia,Plateosauridae,plateosaurus,plateosaurus-220082,herbivorous,0.2,sauropod,19.5,218.25,True,True,True,Baden-Württemberg,N,E,0.35,0.8,0.25,4,plateosaurus,silhouette,,,,0.18958031837916064
220084,Liliensternus,carnivorous,small theropod,5.0,228.0,208.5,Baden-Württemberg,8.65,48.066669,Saurischia,,liliensternus,liliensternus-220084,carnivorous,1.0,theropod,19.5,218.25,True,True,True,Baden-Württemberg,N,E,1.0,0.55,0.9,3,liliensternus,silhouette,,,,0.1316931982633864
220087,Liliensternus,carnivorous,small theropod,5.0,208.5,201.3,Sachsen-Anhalt,11.073611,51.897499,Saurischia,,liliensternus,liliensternus-220087,carnivorous,1.0,theropod,7.199999999999989,204.9,True,True,True,Sachsen-Anhalt,N,E,1.0,0.55,0.9,3,liliensternus,silhouette,,,,0.1316931982633864
220090,Velociraptor,carnivorous,small theropod,1.8,83.5,70.6,Omnogov,103.333336,44.25,Saurischia,Dromaeosauridae,velociraptor,velociraptor-220090,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Omnogov,N,E,1.0,0.55,0.9,4,velociraptor,silhouette,,,,0.039073806078147616
220099,Troodon,carnivorous,small theropod,2.0,85.8,70.6,Montana,-113.75,48.633301,Saurischia,Troodontidae,troodon,troodon-220099,carnivorous,1.0,theropod,15.200000000000003,78.19999999999999,True,True,True,Montana,N,W,1.0,0.55,0.9,4,troodon,silhouette,,,,0.044862518089725044
220162,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Utah,-109.205833,40.423611,Saurischia,Allosauridae,allosaurus,allosaurus-220162,carnivorous,1.0,theropod,12.300000000000011,151.15,True,True,True,Utah,N,W,1.0,0.55,0.9,4,allosaurus,silhouette,,,,0.33429811866859627
220163,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,Utah,-109.205833,40.423611,Saurischia,Diplodocidae,diplodocus,diplodocus-220163,herbivorous,0.2,sauropod,12.300000000000011,151.15,True,True,True,Utah,N,W,0.35,0.8,0.25,4,diplodocus,silhouette,,,,0.739507959479016
225583,Apatosaurus,herbivorous,sauropod,21.0,150.8,145.0,Utah,-109.300552,40.441387,Saurischia,Diplodocidae,apatosaurus,apatosaurus-225583,herbivorous,0.2,sauropod,5.800000000000011,147.9,True,True,True,Utah,N,W,0.35,0.8,0.25,4,apatosaurus,silhouette,,,,0.5947901591895803
229333,Chindesaurus,carnivorous,small theropod,4.0,228.0,208.5,Texas,-101.247002,32.1721,Saurischia,Herrerasauridae,chindesaurus,chindesaurus-229333,carnivorous,1.0,theropod,19.5,218.25,True,True,True,Texas,N,W,1.0,0.55,0.9,4,chindesaurus,silhouette,,,,0.10274963820549927
247238,Sauroposeidon,,,,125.0,100.5,Oklahoma,-96.099998,34.400002,Saurischia,,sauroposeidon,sauroposeidon-247238,unknown,0.4,unknown,24.5,112.75,True,False,False,Oklahoma,N,W,0.5,0.5,0.5,1,sauroposeidon,silhouette,,,,
248041,Dromaeosaurus,carnivorous,small theropod,1.8,83.5,70.6,Montana,-109.297203,46.465099,Saurischia,Dromaeosauridae,dromaeosaurus,dromaeosaurus-248041,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Montana,N,W,1.0,0.55,0.9,4,dromaeosaurus,silhouette,,,,0.039073806078147616
248042,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,Montana,-109.297203,46.465099,Saurischia,Dromaeosauridae,saurornitholestes,saurornitholestes-248042,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Montana,N,W,1.0,0.55,0.9,4,saurornitholestes,silhouette,,,,0.03039073806078148
248043,Troodon,carnivorous,small theropod,2.0,83.5,70.6,Montana,-109.297203,46.465099,Saurischia,Troodontidae,troodon,troodon-248043,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Montana,N,W,1.0,0.55,0.9,4,troodon,silhouette,,,,0.044862518089725044
248044,Richardoestesia,carnivorous,small theropod,1.5,83.5,70.6,Montana,-109.297203,46.465099,Saurischia,Dromaeosauridae,richardoestesia,richardoestesia-248044,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Montana,N,W,1.0,0.55,0.9,4,richardoestesia,silhouette,,,,0.03039073806078148
248060,Dromaeosaurus,carnivorous,small theropod,1.8,83.5,70.6,Montana,-109.900002,46.200001,Saurischia,Dromaeosauridae,dromaeosaurus,dromaeosaurus-248060,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Montana,N,W,1.0,0.55,0.9,4,dromaeosaurus,silhouette,,,,0.039073806078147616
248061,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,Montana,-109.900002,46.200001,Saurischia,Dromaeosauridae,saurornitholestes,saurornitholestes-248061,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Montana,N,W,1.0,0.55,0.9,4,saurornitholestes,silhouette,,,,0.03039073806078148
248062,Troodon,carnivorous,small theropod,2.0,83.5,70.6,Montana,-109.900002,46.200001,Saurischia,Troodontidae,troodon,troodon-248062,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Montana,N,W,1.0,0.55,0.9,4,troodon,silhouette,,,,0.044862518089725044
248063,Richardoestesia,carnivorous,small theropod,1.5,83.5,70.6,Montana,-109.900002,46.200001,Saurischia,Dromaeosauridae,richardoestesia,richardoestesia-248063,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Montana,N,W,1.0,0.55,0.9,4,richardoestesia,silhouette,,,,0.03039073806078148
255621,Dryptosaurus,carnivorous,large theropod,6.4,83.5,70.6,New Jersey,-74.300003,40.299999,Saurischia,,dryptosaurus,dryptosaurus-255621,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,New Jersey,N,W,1.0,0.55,0.9,3,dryptosaurus,silhouette,,,,0.1722141823444284
255936,Sphingopus,,,,247.2,237.0,Saône-et-Loire,4.432778,46.841946,Saurischia,Parachirotheriidae,sphingopus,sphingopus-255936,unknown,0.4,unknown,10.199999999999989,242.1,True,False,False,Saône-et-Loire,N,E,0.5,0.5,0.5,2,sphingopus,silhouette,,,,
256216,Mamenchisaurus,herbivorous,sauropod,22.0,163.5,157.3,Sichuan,104.516701,28.700001,Saurischia,Mamenchisauridae,mamenchisaurus,mamenchisaurus-256216,herbivorous,0.2,sauropod,6.199999999999989,160.4,True,True,True,Sichuan,N,E,0.35,0.8,0.25,4,mamenchisaurus,silhouette,,,,0.6237337192474675
256434,Eoraptor,carnivorous,small theropod,1.0,237.0,228.0,San Juan,-68.904999,-31.10111,Saurischia,,eoraptor,eoraptor-256434,carnivorous,1.0,theropod,9.0,232.5,True,True,True,San Juan,S,W,1.0,0.55,0.9,3,eoraptor,silhouette,,,,0.015918958031837918
256435,Herrerasaurus,carnivorous,small theropod,3.0,237.0,228.0,San Juan,-68.904999,-31.10111,Saurischia,Herrerasauridae,herrerasaurus,herrerasaurus-256435,carnivorous,1.0,theropod,9.0,232.5,True,True,True,San Juan,S,W,1.0,0.55,0.9,4,herrerasaurus,silhouette,,,,0.07380607814761216
256441,Herrerasaurus,carnivorous,small theropod,3.0,237.0,228.0,San Juan,-68.283333,-30.133333,Saurischia,Herrerasauridae,herrerasaurus,herrerasaurus-256441,carnivorous,1.0,theropod,9.0,232.5,True,True,True,San Juan,S,W,1.0,0.55,0.9,4,herrerasaurus,silhouette,,,,0.07380607814761216
256442,Titanosaurus,,,,72.1,66.0,Madhya Pradesh,80.366699,23.35,Saurischia,,titanosaurus,titanosaurus-256442,unknown,0.4,unknown,6.099999999999994,69.05,True,False,False,Madhya Pradesh,N,E,0.5,0.5,0.5,1,titanosaurus,silhouette,,,,
256680,Haestasaurus,,,,145.0,132.9,England,0.6,50.849998,Saurischia,,haestasaurus,haestasaurus-256680,unknown,0.4,unknown,12.099999999999994,138.95,True,False,False,England,N,E,0.5,0.5,0.5,1,haestasaurus,silhouette,,,,
256913,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,New Mexico,-107.199997,35.700001,Saurischia,Dromaeosauridae,saurornitholestes,saurornitholestes-256913,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,New Mexico,N,W,1.0,0.55,0.9,4,saurornitholestes,silhouette,,,,0.03039073806078148
259970,Dilophosaurus,carnivorous,large theropod,6.0,201.3,190.8,Yunnan,102.591942,24.671667,Saurischia,,dilophosaurus,dilophosaurus-259970,carnivorous,1.0,theropod,10.5,196.05,True,True,True,Yunnan,N,E,1.0,0.55,0.9,3,dilophosaurus,silhouette,,,,0.16063675832127353
259971,Yunnanosaurus,omnivorous,sauropod,7.0,201.3,190.8,Yunnan,102.591942,24.671667,Saurischia,,yunnanosaurus,yunnanosaurus-259971,omnivorous,0.6,sauropod,10.5,196.05,True,True,True,Yunnan,N,E,0.65,0.8,0.25,3,yunnanosaurus,silhouette,,,,0.18958031837916064
259972,Carcharodontosaurus,carnivorous,large theropod,15.0,99.6,93.5,Al Jizah,29.116669,28.33333,Saurischia,Carcharodontosauridae,carcharodontosaurus,carcharodontosaurus-259972,carnivorous,1.0,theropod,6.099999999999994,96.55,True,True,True,Al Jizah,N,E,1.0,0.55,0.9,4,carcharodontosaurus,silhouette,,,,0.4211287988422577
259976,Spinosaurus,carnivorous,large theropod,18.0,99.6,93.5,Matruh,28.914782,28.43112,Saurischia,Spinosauridae,spinosaurus,spinosaurus-259976,carnivorous,1.0,theropod,6.099999999999994,96.55,True,True,True,Matruh,N,E,1.0,0.55,0.9,4,spinosaurus,silhouette,,,,0.507959479015919
