name,slug,display_name,occurrence_count,exemplar_occurrence_no,diet,type,type_group,length_m,max_ma,min_ma,era_mid_ma,survival_span_ma,class_name,family,region_example,lat,lng,unique_regions,has_any_coords,has_any_length,match_pool,data_quality_score,attack_base,defense_base,mobility_base,id,diet_code,length_norm,image_key,image_mode,image_url,image_credit,image_license
Tototlmimus,tototlmimus,Tototlmimus,1,1345728,unknown,,unknown,,83.6,72.1,77.85,11.5,Saurischia,Ornithomimidae,Sonora,31.263472,-110.357841,1,True,False,False,2,0.5,0.5,0.5,tototlmimus,0.4,,tototlmimus,silhouette,,,
Traukutitan,traukutitan,Traukutitan,1,343959,unknown,,unknown,,86.3,83.6,84.94999999999999,2.700000000000003,Saurischia,,Neuquén,-38.49762,-68.709045,1,True,False,False,1,0.5,0.5,0.5,traukutitan,0.4,,traukutitan,silhouette,,,
Triceratops,triceratops,Triceratops,125,256118,herbivorous,ceratopsian,ceratopsian,9.0,83.5,66.0,69.05,6.099999999999994,Ornithischia,Ceratopsidae,Wyoming,43.311951,-104.645187,10,True,True,True,4,0.35,0.85,0.45,triceratops,0.2,0.2474674384949349,triceratops,silhouette,,,
Tridigitichnus,tridigitichnus,Tridigitichnus,1,791353,unknown,,unknown,,70.6,66.0,68.3,4.599999999999994,Ornithischia,Hadrosauridae,Río Negro,-41.349998,-69.466667,1,True,False,False,2,0.5,0.5,0.5,tridigitichnus,0.4,,tridigitichnus,silhouette,,,
Trigonosaurus,trigonosaurus,Trigonosaurus,2,508524,unknown,,unknown,,72.1,66.0,68.675,5.349999999999994,Saurischia,Saltasauridae,Minas Gerais,-19.6626385,-47.680833500000006,1,True,False,False,2,0.5,0.5,0.5,trigonosaurus,0.4,,trigonosaurus,silhouette,,,
Trinisaura,trinisaura,Trinisaura,1,1095295,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Ornithischia,,Unknown,-63.926666,-57.814167,1,True,False,False,1,0.5,0.5,0.5,trinisaura,0.4,,trinisaura,silhouette,,,
Triunfosaurus,triunfosaurus,Triunfosaurus,1,1356022,unknown,,unknown,,145.0,130.0,137.5,15.0,Saurischia,,Paraíba,-6.698056,-38.540279,1,True,False,False,1,0.5,0.5,0.5,triunfosaurus,0.4,,triunfosaurus,silhouette,,,
Troodon,troodon,Troodon,111,220099,carnivorous,small theropod,theropod,2.0,86.3,66.0,77.05,12.900000000000006,Saurischia,Troodontidae,Alberta,50.736988,-111.488899,8,True,True,True,4,1.0,0.55,0.9,troodon,1.0,0.044862518089725044,troodon,silhouette,,,
Tsaagan,tsaagan,Tsaagan,1,629281,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Saurischia,Dromaeosauridae,Omnogov,43.664444,100.901947,1,True,False,False,2,0.5,0.5,0.5,tsaagan,0.4,,tsaagan,silhouette,,,
Tsagantegia,tsagantegia,Tsagantegia,2,535198,herbivorous,armored dinosaur,armored,,100.5,83.6,93.6,13.800000000000004,Ornithischia,Ankylosauridae,Dornogov,44.4472045,109.935955,1,True,False,False,3,0.35,1.0,0.3,tsagantegia,0.2,,tsagantegia,silhouette,,,
Tsintaosaurus,tsintaosaurus,Tsintaosaurus,3,520034,herbivorous,ornithopod,ornithopod,12.0,83.6,72.1,77.85,11.5,Ornithischia,Hadrosauridae,Shandong,36.886551,120.658951,1,True,True,True,4,0.35,0.6,0.75,tsintaosaurus,0.2,0.33429811866859627,tsintaosaurus,silhouette,,,
Tugulusaurus,tugulusaurus,Tugulusaurus,1,487793,unknown,,unknown,,122.46,100.5,111.47999999999999,21.959999999999994,Saurischia,,Xinjiang,46.043884,85.792046,1,True,False,False,1,0.5,0.5,0.5,tugulusaurus,0.4,,tugulusaurus,silhouette,,,
Tuojiangosaurus,tuojiangosaurus,Tuojiangosaurus,1,572134,herbivorous,armored dinosaur,armored,7.0,163.5,157.3,160.4,6.199999999999989,Ornithischia,,Sichuan,28.351944,104.781944,1,True,True,True,3,0.35,1.0,0.3,tuojiangosaurus,0.2,0.18958031837916064,tuojiangosaurus,silhouette,,,
Turanoceratops,turanoceratops,Turanoceratops,6,559630,unknown,,unknown,,93.5,86.3,89.725,3.8500000000000014,Ornithischia,,Navoi,42.117294,62.655315,1,True,False,False,1,0.5,0.5,0.5,turanoceratops,0.4,,turanoceratops,silhouette,,,
Turiasaurus,turiasaurus,Turiasaurus,2,632251,unknown,,unknown,,152.1,139.8,145.725,11.450000000000003,Saurischia,,Aragón,40.14102200000001,-1.269722,1,True,False,False,1,0.5,0.5,0.5,turiasaurus,0.4,,turiasaurus,silhouette,,,
Tylocephale,tylocephale,Tylocephale,1,1341988,herbivorous,ornithopod,ornithopod,1.4,83.6,72.1,77.85,11.5,Ornithischia,Pachycephalosauridae,Omnogov,43.50032,101.130188,1,True,True,True,4,0.35,0.6,0.75,tylocephale,0.2,0.027496382054992764,tylocephale,silhouette,,,
Tyrannosauripus,tyrannosauripus,Tyrannosauripus,1,520791,unknown,,unknown,,72.1,66.0,69.05,6.099999999999994,Saurischia,Tyrannosauridae,New Mexico,36.51083,-104.915283,1,True,False,False,2,0.5,0.5,0.5,tyrannosauripus,0.4,,tyrannosauripus,silhouette,,,
