name,slug,display_name,occurrence_count,exemplar_occurrence_no,diet,type,type_group,length_m,max_ma,min_ma,era_mid_ma,survival_span_ma,class_name,family,region_example,lat,lng,unique_regions,has_any_coords,has_any_length,match_pool,data_quality_score,attack_base,defense_base,mobility_base,id,diet_code,length_norm,image_key,image_mode,image_url,image_credit,image_license,silhouette_type
Moabosaurus,moabosaurus,Moabosaurus,1,284615,unknown,,unknown,,125.45,122.46,123.955,2.990000000000009,Saurischia,,Utah,38.718056,-109.691666,1,True,False,False,1,0.5,0.5,0.5,moabosaurus,0.4,,moabosaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Mochlodon,mochlodon,Mochlodon,4,486474,unknown,,unknown,,86.3,66.0,75.9,9.5,Ornithischia,Rhabdodontidae,Judetul Covurlui,47.269232,20.258334,4,True,False,False,2,0.5,0.5,0.5,mochlodon,0.4,,mochlodon,silhouette,dino_images/images/dinos/general.jpg,,,general
Mojoceratops,mojoceratops,Mojoceratops,2,220027,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Ornithischia,Ceratopsidae,Alberta,50.690276999999995,-111.55233,1,True,False,False,2,0.5,0.5,0.5,mojoceratops,0.4,,mojoceratops,silhouette,dino_images/images/dinos/general.jpg,,,general
Mongolosaurus,mongolosaurus,Mongolosaurus,1,487437,unknown,,unknown,,145.0,100.5,122.75,44.5,Saurischia,,Nei Mongol,41.416698,102.066704,1,True,False,False,1,0.5,0.5,0.5,mongolosaurus,0.4,,mongolosaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Monoclonius,monoclonius,Monoclonius,9,465699,unknown,,unknown,,83.6,70.6,77.05,12.900000000000006,Ornithischia,Ceratopsidae,Alberta,47.740276,-109.619164,4,True,False,False,2,0.5,0.5,0.5,monoclonius,0.4,,monoclonius,silhouette,dino_images/images/dinos/general.jpg,,,general
Monolophosaurus,monolophosaurus,Monolophosaurus,1,471767,carnivorous,large theropod,theropod,5.7,166.1,163.5,164.8,2.5999999999999943,Saurischia,,Xinjiang,44.837215,90.064598,1,True,True,True,3,1.0,0.55,0.9,monolophosaurus,1.0,0.1519536903039074,monolophosaurus,silhouette,dino_images/images/dinos/carnivore.jpeg,,,carnivore
Mononykus,mononykus,Mononykus,5,148628,carnivorous,small theropod,theropod,1.0,83.6,66.0,69.05,6.099999999999994,Saurischia,,Omnogov,43.540001,99.801392,2,True,True,True,3,1.0,0.55,0.9,mononykus,1.0,0.0159189580318379,mononykus,silhouette,dino_images/images/dinos/carnivore.jpeg,,,carnivore
Montanoceratops,montanoceratops,Montanoceratops,3,513436,unknown,,unknown,,70.6,66.0,68.3,4.599999999999994,Ornithischia,Leptoceratopsidae,Montana,48.858055,-112.735832,2,True,False,False,2,0.5,0.5,0.5,montanoceratops,0.4,,montanoceratops,silhouette,dino_images/images/dinos/general.jpg,,,general
Moraesichnium,moraesichnium,Moraesichnium,1,540507,unknown,,unknown,,145.0,129.4,137.2,15.599999999999994,Saurischia,,Paraíba,-6.75,-38.233299,1,True,False,False,1,0.5,0.5,0.5,moraesichnium,0.4,,moraesichnium,silhouette,dino_images/images/dinos/general.jpg,,,general
Morrosaurus,morrosaurus,Morrosaurus,1,1311096,unknown,,unknown,,70.6,66.0,68.3,4.599999999999994,Ornithischia,,Unknown,-63.927776,-57.504166,1,True,False,False,1,0.5,0.5,0.5,morrosaurus,0.4,,morrosaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Mosaiceratops,mosaiceratops,Mosaiceratops,1,1299036,unknown,,unknown,,93.5,70.6,82.05,22.90000000000001,Ornithischia,,Henan,33.545616,112.104576,1,True,False,False,1,0.5,0.5,0.5,mosaiceratops,0.4,,mosaiceratops,silhouette,dino_images/images/dinos/general.jpg,,,general
Moyenisauropus,moyenisauropus,Moyenisauropus,5,296427,unknown,,unknown,,228.0,190.8,198.9,4.800000000000011,Ornithischia,Moyenisauropodidae,Unknown,50.883301,21.3333,4,True,False,False,2,0.5,0.5,0.5,moyenisauropus,0.4,,moyenisauropus,silhouette,dino_images/images/dinos/general.jpg,,,general
Murusraptor,murusraptor,Murusraptor,1,907500,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Saurischia,Megaraptoridae,Neuquén,-38.840832,-68.84111,1,True,False,False,2,0.5,0.5,0.5,murusraptor,0.4,,murusraptor,silhouette,dino_images/images/dinos/general.jpg,,,general
